# delta    ubar_pos    ubar_neg
0.762800    0.480741    -1.467411
0.762900    0.480624    -1.467079
0.763000    0.480508    -1.466747
0.763100    0.480391    -1.466415
0.763200    0.480275    -1.466083
0.763300    0.480158    -1.465750
0.763400    0.480042    -1.465418
0.763500    0.479925    -1.465086
0.763600    0.479808    -1.464754
0.763700    0.479692    -1.464422
0.763800    0.479575    -1.464090
0.763900    0.479458    -1.463758
0.764000    0.479341    -1.463425
0.764100    0.479224    -1.463093
0.764200    0.479108    -1.462761
0.764300    0.478991    -1.462429
0.764400    0.478874    -1.462097
0.764500    0.478757    -1.461765
0.764600    0.478640    -1.461432
0.764700    0.478523    -1.461100
0.764800    0.478406    -1.460768
0.764900    0.478289    -1.460436
0.765000    0.478172    -1.460104
0.765100    0.478055    -1.459771
0.765200    0.477938    -1.459439
0.765300    0.477820    -1.459107
0.765400    0.477703    -1.458775
0.765500    0.477586    -1.458443
0.765600    0.477469    -1.458111
0.765700    0.477351    -1.457778
0.765800    0.477234    -1.457446
0.765900    0.477117    -1.457114
0.766000    0.476999    -1.456782
0.766100    0.476882    -1.456449
0.766200    0.476765    -1.456117
0.766300    0.476647    -1.455785
0.766400    0.476530    -1.455453
0.766500    0.476412    -1.455121
0.766600    0.476294    -1.454788
0.766700    0.476177    -1.454456
0.766800    0.476059    -1.454124
0.766900    0.475942    -1.453792
0.767000    0.475824    -1.453459
0.767100    0.475706    -1.453127
0.767200    0.475588    -1.452795
0.767300    0.475471    -1.452463
0.767400    0.475353    -1.452130
0.767500    0.475235    -1.451798
0.767600    0.475117    -1.451466
0.767700    0.474999    -1.451134
0.767800    0.474881    -1.450801
0.767900    0.474763    -1.450469
0.768000    0.474645    -1.450137
0.768100    0.474527    -1.449804
0.768200    0.474409    -1.449472
0.768300    0.474291    -1.449140
0.768400    0.474173    -1.448808
0.768500    0.474055    -1.448475
0.768600    0.473937    -1.448143
0.768700    0.473819    -1.447811
0.768800    0.473700    -1.447478
0.768900    0.473582    -1.447146
0.769000    0.473464    -1.446814
0.769100    0.473346    -1.446481
0.769200    0.473227    -1.446149
0.769300    0.473109    -1.445817
0.769400    0.472990    -1.445484
0.769500    0.472872    -1.445152
0.769600    0.472754    -1.444820
0.769700    0.472635    -1.444487
0.769800    0.472517    -1.444155
0.769900    0.472398    -1.443823
0.770000    0.472279    -1.443490
0.770100    0.472161    -1.443158
0.770200    0.472042    -1.442826
0.770300    0.471923    -1.442493
0.770400    0.471805    -1.442161
0.770500    0.471686    -1.441828
0.770600    0.471567    -1.441496
0.770700    0.471448    -1.441164
0.770800    0.471330    -1.440831
0.770900    0.471211    -1.440499
0.771000    0.471092    -1.440166
0.771100    0.470973    -1.439834
0.771200    0.470854    -1.439502
0.771300    0.470735    -1.439169
0.771400    0.470616    -1.438837
0.771500    0.470497    -1.438504
0.771600    0.470378    -1.438172
0.771700    0.470259    -1.437840
0.771800    0.470139    -1.437507
0.771900    0.470020    -1.437175
0.772000    0.469901    -1.436842
